id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres
17VP4tofJ3evJbtY8Tk1Qi,il vento d'oro,JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overture,"[""Yugo Kanno""]",0.491,0.915,11,-4.834,1,0.143,0.00652,0.125,0.0906,0.582,134.947,295576,2018,Pop,63,211275,58.0,"[""56DDzGJXY0xndL9wu9aHUD""]","[""anime"", ""soundtrack""]"
5qkNdYt1eLoDKzwKREGgpI,in vain,Coll:set,"[""D'espairsRay""]",0.329,0.808,2,-5.697,1,0.057,9.79e-06,0.00195,0.0568,0.203,169.918,255427,2005,Rock,24,53794,32.0,"[""0HxrabRgphgRhnAVitTCcz""]","[""j-rock"", ""visual kei""]"
36lR7tZpNmeqWE0PII04CG,insane dream,Daydream,"[""Aimer""]",0.414,0.9,3,-3.543,0,0.0864,0.0014,0.000165,0.24,0.27,120.205,253120,2016,Pop,0,2769980,67.0,"[""0bAsR2unSRpn6BQPEnNlZm""]","[""anime"", ""j-pop"", ""j-rock""]"
6dxjfasDAe8v56M308tQdz,inside you,eyes,"[""milet""]",0.471,0.658,7,-4.433,1,0.0306,0.00745,0.0,0.0803,0.265,149.944,222307,2020,Pop,54,995937,62.0,"[""45ft4DyTCEJfQwTBHXpdhM""]","[""anime"", ""j-pop"", ""j-rock""]"
6wTfwVI0mFJyBJNqCCFioE,is this love,IDENTITY,"[""BoA""]",0.759,0.372,6,-10.042,0,0.0371,0.303,0.0,0.275,0.628,113.974,244480,2010,Pop,14,854764,58.0,"[""4muJrGMndyYWqZtfk8OWy4""]","[""j-pop"", ""j-r&b"", ""k-pop""]"
4EBrCFj4IJh2Zz9Bvk5erJ,joke!,joke!,"[""SE SO NEON""]",0.619,0.928,11,-3.174,0,0.0627,0.0792,1.85e-05,0.233,0.811,96.049,203125,2021,Rock,0,268416,48.0,"[""07OePkse2fcvU9wlVftNMl""]","[""japanese indie"", ""k-rock""]"
38zJkQa8Xku43j4ZGdFGUb,lightning strikes,Nostalgic Evolution,"[""Winnie""]",0.376,0.851,11,-3.893,0,0.0661,3.570000000000001e-05,1.87e-06,0.0899,0.686,162.029,198147,2014,Rock,23,11152,27.0,"[""597CBjNeUwp1UEv5nKj1PJ""]","[""j-rock"", ""japanese indie""]"
67ZdH9RAKqemCyWnHShkiC,living,swamp man,"[""HIGH and MIGHTY COLOR""]",0.467,0.965,6,-2.199,0,0.0626,0.00256,0.000168,0.226,0.23,105.023,218097,2009,Rock,0,52190,39.0,"[""68vPeaQOlnY1aA3iBKCEpG""]","[""anime"", ""j-rock"", ""visual kei""]"
75szLCYZpLhIQo6VQXISko,lolli-lolli,サヨナラの季節 / lolli lolli (special edition),"[""lol""]",0.6920000000000001,0.798,8,-4.456,0,0.0475,0.28,0.0,0.119,0.391,145.937,187604,2019,Pop,3,61608,33.0,"[""2nKN6scty9Yb9G4VlT6B8z""]","[""anime"", ""j-pop""]"
0M6E9d9UvGGU0AsRAhXvJP,lonely,ACCIDENT,"[""MY FIRST STORY""]",0.326,0.88,7,-5.211,0,0.0962,0.0057,0.000821,0.101,0.136,135.996,257933,2018,Pop,25,718506,60.0,"[""6cutt8thPFUICMfxaYerWd""]","[""anime"", ""j-pop"", ""j-rock""]"
